dates,ID,turno,linea_utilizada,produccion,piezas_a_scrap,apellido,nombre
"Mar 19, 2025",382,Tarde,Linea 2,180,5,Sánchez,Miguel
"Mar 19, 2025",383,Noche,Linea 1,217,6,Rodríguez,Laura
"Mar 19, 2025",384,Noche,Linea 2,168,7,Martínez,Ana
"Mar 20, 2025",385,Mañana,Linea 1,205,8,Díaz,Antonio
"Mar 20, 2025",386,Mañana,Linea 2,156,9,Pérez,Carmen
"Mar 20, 2025",387,Tarde,Linea 1,193,10,González,Luis
"Mar 20, 2025",388,Tarde,Linea 2,230,11,García,Carlos
"Mar 20, 2025",389,Noche,Linea 1,181,12,Torres,Javier
"Mar 20, 2025",390,Noche,Linea 2,218,0,Flores,Rosa
"Mar 21, 2025",391,Mañana,Linea 1,169,1,Hernández,María
"Mar 21, 2025",392,Mañana,Linea 2,206,2,Ruiz,Francisco
"Mar 21, 2025",393,Tarde,Linea 1,157,3,Ramírez,Elena
"Mar 21, 2025",394,Tarde,Linea 2,194,4,Fernández,José
"Mar 21, 2025",395,Noche,Linea 1,231,5,López,Pedro
"Mar 21, 2025",396,Noche,Linea 2,182,6,Morales,Patricia
"Mar 22, 2025",397,Mañana,Linea 1,219,7,Sánchez,Miguel
"Mar 22, 2025",398,Mañana,Linea 2,170,8,Rodríguez,Laura
"Mar 22, 2025",399,Tarde,Linea 1,207,9,Martínez,Ana
"Mar 22, 2025",400,Tarde,Linea 2,158,10,Díaz,Antonio
"Mar 22, 2025",401,Noche,Linea 1,195,11,Pérez,Carmen
"Mar 22, 2025",402,Noche,Linea 2,232,12,González,Luis
"Mar 23, 2025",403,Mañana,Linea 1,183,0,García,Carlos
"Mar 23, 2025",404,Mañana,Linea 2,220,1,Torres,Javier
"Mar 23, 2025",405,Tarde,Linea 1,171,2,Flores,Rosa
"Mar 23, 2025",406,Tarde,Linea 2,208,3,Hernández,María
"Mar 23, 2025",407,Noche,Linea 1,159,4,Ruiz,Francisco
"Mar 23, 2025",408,Noche,Linea 2,196,5,Ramírez,Elena
"Mar 24, 2025",409,Mañana,Linea 1,233,6,Fernández,José
"Mar 24, 2025",410,Mañana,Linea 2,184,7,López,Pedro
"Mar 24, 2025",411,Tarde,Linea 1,221,8,Morales,Patricia
"Mar 24, 2025",412,Tarde,Linea 2,172,9,Sánchez,Miguel
"Mar 24, 2025",413,Noche,Linea 1,209,10,Rodríguez,Laura
"Mar 24, 2025",414,Noche,Linea 2,160,11,Martínez,Ana
"Mar 25, 2025",415,Mañana,Linea 1,197,12,Díaz,Antonio
"Mar 25, 2025",416,Mañana,Linea 2,234,0,Pérez,Carmen
"Mar 25, 2025",417,Tarde,Linea 1,185,1,González,Luis
"Mar 25, 2025",418,Tarde,Linea 2,222,2,García,Carlos
"Mar 25, 2025",419,Noche,Linea 1,173,3,Torres,Javier
"Mar 25, 2025",420,Noche,Linea 2,210,4,Flores,Rosa
"Mar 26, 2025",421,Mañana,Linea 1,161,5,Hernández,María
"Mar 26, 2025",422,Mañana,Linea 2,198,6,Ruiz,Francisco
"Mar 26, 2025",423,Tarde,Linea 1,235,7,Ramírez,Elena
"Mar 26, 2025",424,Tarde,Linea 2,186,8,Fernández,José
"Mar 26, 2025",425,Noche,Linea 1,223,9,López,Pedro
"Mar 26, 2025",426,Noche,Linea 2,174,10,Morales,Patricia
"Mar 27, 2025",427,Mañana,Linea 1,211,11,Sánchez,Miguel
"Mar 27, 2025",428,Mañana,Linea 2,162,12,Rodríguez,Laura
"Mar 27, 2025",429,Tarde,Linea 1,199,0,Martínez,Ana
"Mar 27, 2025",430,Tarde,Linea 2,150,1,Díaz,Antonio
"Mar 27, 2025",431,Noche,Linea 1,187,2,Pérez,Carmen
"Mar 27, 2025",432,Noche,Linea 2,224,3,González,Luis
"Mar 28, 2025",433,Mañana,Linea 1,175,4,García,Carlos
"Mar 28, 2025",434,Mañana,Linea 2,212,5,Torres,Javier
"Mar 28, 2025",435,Tarde,Linea 1,163,6,Flores,Rosa
"Mar 28, 2025",436,Tarde,Linea 2,200,7,Hernández,María
"Mar 28, 2025",437,Noche,Linea 1,151,8,Ruiz,Francisco
"Mar 28, 2025",438,Noche,Linea 2,188,9,Ramírez,Elena
"Mar 29, 2025",439,Mañana,Linea 1,225,10,Fernández,José
"Mar 29, 2025",440,Mañana,Linea 2,176,11,López,Pedro
"Mar 29, 2025",441,Tarde,Linea 1,213,12,Morales,Patricia
"Mar 29, 2025",442,Tarde,Linea 2,164,0,Sánchez,Miguel
"Mar 29, 2025",443,Noche,Linea 1,201,1,Rodríguez,Laura
"Mar 29, 2025",444,Noche,Linea 2,152,2,Martínez,Ana
"Mar 30, 2025",445,Mañana,Linea 1,189,3,Díaz,Antonio
"Mar 30, 2025",446,Mañana,Linea 2,226,4,Pérez,Carmen
"Mar 30, 2025",447,Tarde,Linea 1,177,5,González,Luis
"Mar 30, 2025",448,Tarde,Linea 2,214,6,García,Carlos
"Mar 30, 2025",449,Noche,Linea 1,165,7,Torres,Javier
"Mar 30, 2025",450,Noche,Linea 2,202,8,Flores,Rosa
"Mar 31, 2025",451,Mañana,Linea 1,153,9,Hernández,María
"Mar 31, 2025",452,Mañana,Linea 2,190,10,Ruiz,Francisco
"Mar 31, 2025",453,Tarde,Linea 1,227,11,Ramírez,Elena
"Mar 31, 2025",454,Tarde,Linea 2,178,12,Fernández,José
"Mar 31, 2025",455,Noche,Linea 1,215,0,López,Pedro
"Mar 31, 2025",456,Noche,Linea 2,166,1,Morales,Patricia
"Apr 1, 2025",457,Mañana,Linea 1,203,2,Sánchez,Miguel
"Apr 1, 2025",458,Mañana,Linea 2,154,3,Rodríguez,Laura
"Apr 1, 2025",459,Tarde,Linea 1,191,4,Martínez,Ana
"Apr 1, 2025",460,Tarde,Linea 2,228,5,Díaz,Antonio
"Apr 1, 2025",461,Noche,Linea 1,179,6,Pérez,Carmen
"Apr 1, 2025",462,Noche,Linea 2,216,7,González,Luis
"Apr 2, 2025",463,Mañana,Linea 1,167,8,García,Carlos
"Apr 2, 2025",464,Mañana,Linea 2,204,9,Torres,Javier
"Apr 2, 2025",465,Tarde,Linea 1,155,10,Flores,Rosa
"Apr 2, 2025",466,Tarde,Linea 2,192,11,Hernández,María
"Apr 2, 2025",467,Noche,Linea 1,229,12,Ruiz,Francisco
"Apr 2, 2025",468,Noche,Linea 2,180,0,Ramírez,Elena
"Apr 3, 2025",469,Mañana,Linea 1,217,1,Fernández,José
"Apr 3, 2025",470,Mañana,Linea 2,168,2,López,Pedro
"Apr 3, 2025",471,Tarde,Linea 1,205,3,Morales,Patricia
"Apr 3, 2025",472,Tarde,Linea 2,156,4,Sánchez,Miguel
"Apr 3, 2025",473,Noche,Linea 1,193,5,Rodríguez,Laura
"Apr 3, 2025",474,Noche,Linea 2,230,6,Martínez,Ana
"Apr 4, 2025",475,Mañana,Linea 1,181,7,Díaz,Antonio
"Apr 4, 2025",476,Mañana,Linea 2,218,8,Pérez,Carmen
"Apr 4, 2025",477,Tarde,Linea 1,169,9,González,Luis
"Apr 4, 2025",478,Tarde,Linea 2,206,10,García,Carlos
"Apr 4, 2025",479,Noche,Linea 1,157,11,Torres,Javier
"Apr 4, 2025",480,Noche,Linea 2,194,12,Flores,Rosa
"Apr 5, 2025",481,Mañana,Linea 1,231,0,Hernández,María
"Apr 5, 2025",482,Mañana,Linea 2,182,1,Ruiz,Francisco
"Apr 5, 2025",483,Tarde,Linea 1,219,2,Ramírez,Elena
"Apr 5, 2025",484,Tarde,Linea 2,170,3,Fernández,José
"Apr 5, 2025",485,Noche,Linea 1,207,4,López,Pedro
"Apr 5, 2025",486,Noche,Linea 2,158,5,Morales,Patricia
"Apr 6, 2025",487,Mañana,Linea 1,195,6,Sánchez,Miguel
"Apr 6, 2025",488,Mañana,Linea 2,232,7,Rodríguez,Laura
"Apr 6, 2025",489,Tarde,Linea 1,183,8,Martínez,Ana
"Apr 6, 2025",490,Tarde,Linea 2,220,9,Díaz,Antonio
"Apr 6, 2025",491,Noche,Linea 1,171,10,Pérez,Carmen
"Apr 6, 2025",492,Noche,Linea 2,208,11,González,Luis
"Apr 7, 2025",493,Mañana,Linea 1,159,12,García,Carlos
"Apr 7, 2025",494,Mañana,Linea 2,196,0,Torres,Javier
"Apr 7, 2025",495,Tarde,Linea 1,233,1,Flores,Rosa
"Apr 7, 2025",496,Tarde,Linea 2,184,2,Hernández,María
"Apr 7, 2025",497,Noche,Linea 1,221,3,Ruiz,Francisco
"Apr 7, 2025",498,Noche,Linea 2,172,4,Ramírez,Elena
"Apr 8, 2025",499,Mañana,Linea 1,209,5,Fernández,José
"Apr 8, 2025",500,Mañana,Linea 2,160,6,López,Pedro
"Apr 8, 2025",501,Tarde,Linea 1,197,7,Morales,Patricia
"Apr 8, 2025",502,Tarde,Linea 2,234,8,Sánchez,Miguel
"Apr 8, 2025",503,Noche,Linea 1,185,9,Rodríguez,Laura
"Apr 8, 2025",504,Noche,Linea 2,222,10,Martínez,Ana
"Apr 9, 2025",505,Mañana,Linea 1,173,11,Díaz,Antonio
"Apr 9, 2025",506,Mañana,Linea 2,210,12,Pérez,Carmen
"Apr 9, 2025",507,Tarde,Linea 1,161,0,González,Luis
"Apr 9, 2025",508,Tarde,Linea 2,198,1,García,Carlos
"Apr 9, 2025",509,Noche,Linea 1,235,2,Torres,Javier
"Apr 9, 2025",510,Noche,Linea 2,186,3,Flores,Rosa
"Apr 10, 2025",511,Mañana,Linea 1,223,4,Hernández,María
"Apr 10, 2025",512,Mañana,Linea 2,174,5,Ruiz,Francisco
"Apr 10, 2025",513,Tarde,Linea 1,211,6,Ramírez,Elena
"Apr 10, 2025",514,Tarde,Linea 2,162,7,Fernández,José
"Apr 10, 2025",515,Noche,Linea 1,199,8,López,Pedro
"Apr 10, 2025",516,Noche,Linea 2,150,9,Morales,Patricia
"Apr 11, 2025",517,Mañana,Linea 1,187,10,Sánchez,Miguel
"Apr 11, 2025",518,Mañana,Linea 2,224,11,Rodríguez,Laura
"Apr 11, 2025",519,Tarde,Linea 1,175,12,Martínez,Ana
"Apr 11, 2025",520,Tarde,Linea 2,212,0,Díaz,Antonio
"Apr 11, 2025",521,Noche,Linea 1,163,1,Pérez,Carmen
"Apr 11, 2025",522,Noche,Linea 2,200,2,González,Luis
"Apr 12, 2025",523,Mañana,Linea 1,151,3,García,Carlos
"Apr 12, 2025",524,Mañana,Linea 2,188,4,Torres,Javier
"Apr 12, 2025",525,Tarde,Linea 1,225,5,Flores,Rosa
"Apr 12, 2025",526,Tarde,Linea 2,176,6,Hernández,María
"Apr 12, 2025",527,Noche,Linea 1,213,7,Ruiz,Francisco
"Apr 12, 2025",528,Noche,Linea 2,164,8,Ramírez,Elena
"Apr 13, 2025",529,Mañana,Linea 1,201,9,Fernández,José
"Apr 13, 2025",530,Mañana,Linea 2,152,10,López,Pedro
"Apr 13, 2025",531,Tarde,Linea 1,189,11,Morales,Patricia
"Apr 13, 2025",532,Tarde,Linea 2,226,12,Sánchez,Miguel
"Apr 13, 2025",533,Noche,Linea 1,177,0,Rodríguez,Laura
"Apr 13, 2025",534,Noche,Linea 2,214,1,Martínez,Ana
"Apr 14, 2025",535,Mañana,Linea 1,165,2,Díaz,Antonio
"Apr 14, 2025",536,Mañana,Linea 2,202,3,Pérez,Carmen
"Apr 14, 2025",537,Tarde,Linea 1,153,4,González,Luis
"Apr 14, 2025",538,Tarde,Linea 2,190,5,García,Carlos
"Apr 14, 2025",539,Noche,Linea 1,227,6,Torres,Javier
"Apr 14, 2025",540,Noche,Linea 2,178,7,Flores,Rosa
"Apr 15, 2025",541,Mañana,Linea 1,215,8,Hernández,María
"Apr 15, 2025",542,Mañana,Linea 2,166,9,Ruiz,Francisco
"Apr 15, 2025",543,Tarde,Linea 1,203,10,Ramírez,Elena
"Apr 15, 2025",544,Tarde,Linea 2,154,11,Fernández,José
"Apr 15, 2025",545,Noche,Linea 1,191,12,López,Pedro
"Apr 15, 2025",546,Noche,Linea 2,228,0,Morales,Patricia
"Apr 16, 2025",547,Mañana,Linea 1,179,1,Sánchez,Miguel
"Apr 16, 2025",548,Mañana,Linea 2,216,2,Rodríguez,Laura
"Apr 16, 2025",549,Tarde,Linea 1,167,3,Martínez,Ana
"Apr 16, 2025",550,Tarde,Linea 2,204,4,Díaz,Antonio
"Apr 16, 2025",551,Noche,Linea 1,155,5,Pérez,Carmen
"Apr 16, 2025",552,Noche,Linea 2,192,6,González,Luis
"Apr 17, 2025",553,Mañana,Linea 1,229,7,García,Carlos
"Apr 17, 2025",554,Mañana,Linea 2,180,8,Torres,Javier
"Apr 17, 2025",555,Tarde,Linea 1,217,9,Flores,Rosa
"Apr 17, 2025",556,Tarde,Linea 2,168,10,Hernández,María
"Apr 17, 2025",557,Noche,Linea 1,205,11,Ruiz,Francisco
"Apr 17, 2025",558,Noche,Linea 2,156,12,Ramírez,Elena
"Apr 18, 2025",559,Mañana,Linea 1,193,0,Fernández,José
"Apr 18, 2025",560,Mañana,Linea 2,230,1,López,Pedro
"Apr 18, 2025",561,Tarde,Linea 1,181,2,Morales,Patricia
"Apr 18, 2025",562,Tarde,Linea 2,218,3,Sánchez,Miguel
"Apr 18, 2025",563,Noche,Linea 1,169,4,Rodríguez,Laura
"Apr 18, 2025",564,Noche,Linea 2,206,5,Martínez,Ana
"Apr 19, 2025",565,Mañana,Linea 1,157,6,Díaz,Antonio
"Apr 19, 2025",566,Mañana,Linea 2,194,7,Pérez,Carmen
"Apr 19, 2025",567,Tarde,Linea 1,231,8,González,Luis
"Apr 19, 2025",568,Tarde,Linea 2,182,9,García,Carlos
"Apr 19, 2025",569,Noche,Linea 1,219,10,Torres,Javier
"Apr 19, 2025",570,Noche,Linea 2,170,11,Flores,Rosa
"Apr 20, 2025",571,Mañana,Linea 1,207,12,Hernández,María
"Apr 20, 2025",572,Mañana,Linea 2,158,0,Ruiz,Francisco
"Apr 20, 2025",573,Tarde,Linea 1,195,1,Ramírez,Elena
"Apr 20, 2025",574,Tarde,Linea 2,232,2,Fernández,José
"Apr 20, 2025",575,Noche,Linea 1,183,3,López,Pedro
"Apr 20, 2025",576,Noche,Linea 2,220,4,Morales,Patricia
"Apr 21, 2025",577,Mañana,Linea 1,171,5,Sánchez,Miguel
"Apr 21, 2025",578,Mañana,Linea 2,208,6,Rodríguez,Laura
"Apr 21, 2025",579,Tarde,Linea 1,159,7,Martínez,Ana
"Apr 21, 2025",580,Tarde,Linea 2,196,8,Díaz,Antonio
"Apr 21, 2025",581,Noche,Linea 1,233,9,Pérez,Carmen
"Apr 21, 2025",582,Noche,Linea 2,184,10,González,Luis
"Apr 22, 2025",583,Mañana,Linea 1,221,11,García,Carlos
"Apr 22, 2025",584,Mañana,Linea 2,172,12,Torres,Javier
"Apr 22, 2025",585,Tarde,Linea 1,209,0,Flores,Rosa
"Apr 22, 2025",586,Tarde,Linea 2,160,1,Hernández,María
"Apr 22, 2025",587,Noche,Linea 1,197,2,Ruiz,Francisco
"Apr 22, 2025",588,Noche,Linea 2,234,3,Ramírez,Elena
"Apr 23, 2025",589,Mañana,Linea 1,185,4,Fernández,José
"Apr 23, 2025",590,Mañana,Linea 2,222,5,López,Pedro
"Apr 23, 2025",591,Tarde,Linea 1,173,6,Morales,Patricia
"Apr 23, 2025",592,Tarde,Linea 2,210,7,Sánchez,Miguel
"Apr 23, 2025",593,Noche,Linea 1,161,8,Rodríguez,Laura
"Apr 23, 2025",594,Noche,Linea 2,198,9,Martínez,Ana
"Apr 24, 2025",595,Mañana,Linea 1,235,10,Díaz,Antonio
"Apr 24, 2025",596,Mañana,Linea 2,186,11,Pérez,Carmen
"Apr 24, 2025",597,Tarde,Linea 1,223,12,González,Luis
"Apr 24, 2025",598,Tarde,Linea 2,174,0,García,Carlos
"Apr 24, 2025",599,Noche,Linea 1,211,1,Torres,Javier
"Apr 24, 2025",600,Noche,Linea 2,162,2,Flores,Rosa
"Apr 25, 2025",601,Mañana,Linea 1,199,3,Hernández,María
"Apr 25, 2025",602,Mañana,Linea 2,150,4,Ruiz,Francisco
"Apr 25, 2025",603,Tarde,Linea 1,187,5,Ramírez,Elena
"Apr 25, 2025",604,Tarde,Linea 2,224,6,Fernández,José
"Apr 25, 2025",605,Noche,Linea 1,175,7,López,Pedro
"Apr 25, 2025",606,Noche,Linea 2,212,8,Morales,Patricia
"Apr 26, 2025",607,Mañana,Linea 1,163,9,Sánchez,Miguel
"Apr 26, 2025",608,Mañana,Linea 2,200,10,Rodríguez,Laura
"Apr 26, 2025",609,Tarde,Linea 1,151,11,Martínez,Ana
"Apr 26, 2025",610,Tarde,Linea 2,188,12,Díaz,Antonio
"Apr 26, 2025",611,Noche,Linea 1,225,0,Pérez,Carmen
"Apr 26, 2025",612,Noche,Linea 2,176,1,González,Luis
"Apr 27, 2025",613,Mañana,Linea 1,213,2,García,Carlos
"Apr 27, 2025",614,Mañana,Linea 2,164,3,Torres,Javier
"Apr 27, 2025",615,Tarde,Linea 1,201,4,Flores,Rosa
"Apr 27, 2025",616,Tarde,Linea 2,152,5,Hernández,María
"Apr 27, 2025",617,Noche,Linea 1,189,6,Ruiz,Francisco
"Apr 27, 2025",618,Noche,Linea 2,226,7,Ramírez,Elena
"Apr 28, 2025",619,Mañana,Linea 1,177,8,Fernández,José
"Apr 28, 2025",620,Mañana,Linea 2,214,9,López,Pedro
"Apr 28, 2025",621,Tarde,Linea 1,165,10,Morales,Patricia
"Apr 28, 2025",622,Tarde,Linea 2,202,11,Sánchez,Miguel
"Apr 28, 2025",623,Noche,Linea 1,153,12,Rodríguez,Laura
"Apr 28, 2025",624,Noche,Linea 2,190,0,Martínez,Ana
"Apr 29, 2025",625,Mañana,Linea 1,227,1,Díaz,Antonio
"Apr 29, 2025",626,Mañana,Linea 2,178,2,Pérez,Carmen
"Apr 29, 2025",627,Tarde,Linea 1,215,3,González,Luis
"Apr 29, 2025",628,Tarde,Linea 2,166,4,García,Carlos
"Apr 29, 2025",629,Noche,Linea 1,203,5,Torres,Javier
"Apr 29, 2025",630,Noche,Linea 2,154,6,Flores,Rosa
"Apr 30, 2025",631,Mañana,Linea 1,191,7,Hernández,María
"Apr 30, 2025",632,Mañana,Linea 2,228,8,Ruiz,Francisco
"Apr 30, 2025",633,Tarde,Linea 1,179,9,Ramírez,Elena
"Apr 30, 2025",634,Tarde,Linea 2,216,10,Fernández,José
"Apr 30, 2025",635,Noche,Linea 1,167,11,López,Pedro
"Apr 30, 2025",636,Noche,Linea 2,204,12,Morales,Patricia
"May 1, 2025",637,Mañana,Linea 1,155,0,Sánchez,Miguel
"May 1, 2025",638,Mañana,Linea 2,192,1,Rodríguez,Laura
"May 1, 2025",639,Tarde,Linea 1,229,2,Martínez,Ana
"May 1, 2025",640,Tarde,Linea 2,180,3,Díaz,Antonio
"May 1, 2025",641,Noche,Linea 1,217,4,Pérez,Carmen
"May 1, 2025",642,Noche,Linea 2,168,5,González,Luis
"May 2, 2025",643,Mañana,Linea 1,205,6,García,Carlos
"May 2, 2025",644,Mañana,Linea 2,156,7,Torres,Javier
"May 2, 2025",645,Tarde,Linea 1,193,8,Flores,Rosa
"May 2, 2025",646,Tarde,Linea 2,230,9,Hernández,María
"May 2, 2025",647,Noche,Linea 1,181,10,Ruiz,Francisco
"May 2, 2025",648,Noche,Linea 2,218,11,Ramírez,Elena
"May 3, 2025",649,Mañana,Linea 1,169,12,Fernández,José
"May 3, 2025",650,Mañana,Linea 2,206,0,López,Pedro
"May 3, 2025",651,Tarde,Linea 1,157,1,Morales,Patricia
"May 3, 2025",652,Tarde,Linea 2,194,2,Sánchez,Miguel
"May 3, 2025",653,Noche,Linea 1,231,3,Rodríguez,Laura
"May 3, 2025",654,Noche,Linea 2,182,4,Martínez,Ana
"May 4, 2025",655,Mañana,Linea 1,219,5,Díaz,Antonio
"May 4, 2025",656,Mañana,Linea 2,170,6,Pérez,Carmen
"May 4, 2025",657,Tarde,Linea 1,207,7,González,Luis
"May 4, 2025",658,Tarde,Linea 2,158,8,García,Carlos
"May 4, 2025",659,Noche,Linea 1,195,9,Torres,Javier
"May 4, 2025",660,Noche,Linea 2,232,10,Flores,Rosa
"May 5, 2025",661,Mañana,Linea 1,183,11,Hernández,María
"May 5, 2025",662,Mañana,Linea 2,220,12,Ruiz,Francisco
"May 5, 2025",663,Tarde,Linea 1,171,0,Ramírez,Elena
"May 5, 2025",664,Tarde,Linea 2,208,1,Fernández,José
"May 5, 2025",665,Noche,Linea 1,159,2,López,Pedro
"May 5, 2025",666,Noche,Linea 2,196,3,Morales,Patricia
"May 6, 2025",667,Mañana,Linea 1,233,4,Sánchez,Miguel
"May 6, 2025",668,Mañana,Linea 2,184,5,Rodríguez,Laura
"May 6, 2025",669,Tarde,Linea 1,221,6,Martínez,Ana
"May 6, 2025",670,Tarde,Linea 2,172,7,Díaz,Antonio
"May 6, 2025",671,Noche,Linea 1,209,8,Pérez,Carmen
"May 6, 2025",672,Noche,Linea 2,160,9,González,Luis
"May 7, 2025",673,Mañana,Linea 1,197,10,García,Carlos
"May 7, 2025",674,Mañana,Linea 2,234,11,Torres,Javier
"May 7, 2025",675,Tarde,Linea 1,185,12,Flores,Rosa
"May 7, 2025",676,Tarde,Linea 2,222,0,Hernández,María
"May 7, 2025",677,Noche,Linea 1,173,1,Ruiz,Francisco
"May 7, 2025",678,Noche,Linea 2,210,2,Ramírez,Elena
"May 8, 2025",679,Mañana,Linea 1,161,3,Fernández,José
"May 8, 2025",680,Mañana,Linea 2,198,4,López,Pedro
"May 8, 2025",681,Tarde,Linea 1,235,5,Morales,Patricia
"May 8, 2025",682,Tarde,Linea 2,186,6,Sánchez,Miguel
"May 8, 2025",683,Noche,Linea 1,223,7,Rodríguez,Laura
"May 8, 2025",684,Noche,Linea 2,174,8,Martínez,Ana
"May 9, 2025",685,Mañana,Linea 1,211,9,Díaz,Antonio
"May 9, 2025",686,Mañana,Linea 2,162,10,Pérez,Carmen
"May 9, 2025",687,Tarde,Linea 1,199,11,González,Luis
"May 9, 2025",688,Tarde,Linea 2,150,12,García,Carlos
"May 9, 2025",689,Noche,Linea 1,187,0,Torres,Javier
"May 9, 2025",690,Noche,Linea 2,224,1,Flores,Rosa
"May 10, 2025",691,Mañana,Linea 1,175,2,Hernández,María
"May 10, 2025",692,Mañana,Linea 2,212,3,Ruiz,Francisco
"May 10, 2025",693,Tarde,Linea 1,163,4,Ramírez,Elena
"May 10, 2025",694,Tarde,Linea 2,200,5,Fernández,José
"May 10, 2025",695,Noche,Linea 1,151,6,López,Pedro
"May 10, 2025",696,Noche,Linea 2,188,7,Morales,Patricia
"May 11, 2025",697,Mañana,Linea 1,225,8,Sánchez,Miguel
"May 11, 2025",698,Mañana,Linea 2,176,9,Rodríguez,Laura
"May 11, 2025",699,Tarde,Linea 1,213,10,Martínez,Ana
"May 11, 2025",700,Tarde,Linea 2,164,11,Díaz,Antonio
"May 11, 2025",701,Noche,Linea 1,201,12,Pérez,Carmen
"May 11, 2025",702,Noche,Linea 2,152,0,González,Luis
"May 12, 2025",703,Mañana,Linea 1,189,1,García,Carlos
"May 12, 2025",704,Mañana,Linea 2,226,2,Torres,Javier
"May 12, 2025",705,Tarde,Linea 1,177,3,Flores,Rosa
"May 12, 2025",706,Tarde,Linea 2,214,4,Hernández,María
"May 12, 2025",707,Noche,Linea 1,165,5,Ruiz,Francisco
"May 12, 2025",708,Noche,Linea 2,202,6,Ramírez,Elena
"May 13, 2025",709,Mañana,Linea 1,153,7,Fernández,José
"May 13, 2025",710,Mañana,Linea 2,190,8,López,Pedro
"May 13, 2025",711,Tarde,Linea 1,227,9,Morales,Patricia
"May 13, 2025",712,Tarde,Linea 2,178,10,Sánchez,Miguel
"May 13, 2025",713,Noche,Linea 1,215,11,Rodríguez,Laura
"May 13, 2025",714,Noche,Linea 2,166,12,Martínez,Ana
"May 14, 2025",715,Mañana,Linea 1,203,0,Díaz,Antonio
"May 14, 2025",716,Mañana,Linea 2,154,1,Pérez,Carmen
"May 14, 2025",717,Tarde,Linea 1,191,2,González,Luis
"May 14, 2025",718,Tarde,Linea 2,228,3,García,Carlos
"May 14, 2025",719,Noche,Linea 1,179,4,Torres,Javier
"May 14, 2025",720,Noche,Linea 2,216,5,Flores,Rosa
"May 15, 2025",721,Mañana,Linea 1,167,6,Hernández,María
"May 15, 2025",722,Mañana,Linea 2,204,7,Ruiz,Francisco
"May 15, 2025",723,Tarde,Linea 1,155,8,Ramírez,Elena
"May 15, 2025",724,Tarde,Linea 2,192,9,Fernández,José
"May 15, 2025",725,Noche,Linea 1,229,10,López,Pedro
"May 15, 2025",726,Noche,Linea 2,180,11,Morales,Patricia
"May 16, 2025",727,Mañana,Linea 1,217,12,Sánchez,Miguel
"May 16, 2025",728,Mañana,Linea 2,168,0,Rodríguez,Laura
"May 16, 2025",729,Tarde,Linea 1,205,1,Martínez,Ana
"May 16, 2025",730,Tarde,Linea 2,156,2,Díaz,Antonio
"May 16, 2025",731,Noche,Linea 1,193,3,Pérez,Carmen
"May 16, 2025",732,Noche,Linea 2,230,4,González,Luis
"May 17, 2025",733,Mañana,Linea 1,181,5,García,Carlos
"May 17, 2025",734,Mañana,Linea 2,218,6,Torres,Javier
"May 17, 2025",735,Tarde,Linea 1,169,7,Flores,Rosa
"May 17, 2025",736,Tarde,Linea 2,206,8,Hernández,María
"May 17, 2025",737,Noche,Linea 1,157,9,Ruiz,Francisco
"May 17, 2025",738,Noche,Linea 2,194,10,Ramírez,Elena
"May 18, 2025",739,Mañana,Linea 1,231,11,Fernández,José
"May 18, 2025",740,Mañana,Linea 2,182,12,López,Pedro
"May 18, 2025",741,Tarde,Linea 1,219,0,Morales,Patricia
"May 18, 2025",742,Tarde,Linea 2,170,1,Sánchez,Miguel
"May 18, 2025",743,Noche,Linea 1,207,2,Rodríguez,Laura
"May 18, 2025",744,Noche,Linea 2,158,3,Martínez,Ana
"May 19, 2025",745,Mañana,Linea 1,195,4,Díaz,Antonio
"May 19, 2025",746,Mañana,Linea 2,232,5,Pérez,Carmen
"May 19, 2025",747,Tarde,Linea 1,183,6,González,Luis
"May 19, 2025",748,Tarde,Linea 2,220,7,García,Carlos
"May 19, 2025",749,Noche,Linea 1,171,8,Torres,Javier
"May 19, 2025",750,Noche,Linea 2,208,9,Flores,Rosa
"May 20, 2025",751,Mañana,Linea 1,159,10,Hernández,María
"May 20, 2025",752,Mañana,Linea 2,196,11,Ruiz,Francisco
"May 20, 2025",753,Tarde,Linea 1,233,12,Ramírez,Elena
"May 20, 2025",754,Tarde,Linea 2,184,0,Fernández,José
"May 20, 2025",755,Noche,Linea 1,221,1,López,Pedro
"May 20, 2025",756,Noche,Linea 2,172,2,Morales,Patricia
"May 21, 2025",757,Mañana,Linea 1,209,3,Sánchez,Miguel
"May 21, 2025",758,Mañana,Linea 2,160,4,Rodríguez,Laura
"May 21, 2025",759,Tarde,Linea 1,197,5,Martínez,Ana
"May 21, 2025",760,Tarde,Linea 2,234,6,Díaz,Antonio
"May 21, 2025",761,Noche,Linea 1,185,7,Pérez,Carmen
"May 21, 2025",762,Noche,Linea 2,222,8,González,Luis
"May 22, 2025",763,Mañana,Linea 1,173,9,García,Carlos
"May 22, 2025",764,Mañana,Linea 2,210,10,Torres,Javier
"May 22, 2025",765,Tarde,Linea 1,161,11,Flores,Rosa
"May 22, 2025",766,Tarde,Linea 2,198,12,Hernández,María
"May 22, 2025",767,Noche,Linea 1,235,0,Ruiz,Francisco
"May 22, 2025",768,Noche,Linea 2,186,1,Ramírez,Elena
"May 23, 2025",769,Mañana,Linea 1,223,2,Fernández,José
"May 23, 2025",770,Mañana,Linea 2,174,3,López,Pedro
"May 23, 2025",771,Tarde,Linea 1,211,4,Morales,Patricia
